"property_type","room_type","name","host_name","neighbourhood","host_identity_verified","city","latitude","longitude","accommodates","bathrooms","bedrooms","price","number_of_reviews","review_scores_rating","cancellation_policy"
"Apartment","Entire home/apt","Studio in Upper East Side","Maxim","Manhattan","t","New York",40.77507,-73.94896,2,1,0,70,3,100,"strict_14_with_grace_period"
"Apartment","Private room","Room in Spacious good vibes home","Ariela","Crown Heights","t","New York",40.66593,-73.95082,1,2,1,50,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Doorman 2 bed 1.5 Ba! Sky view!5173","Jeremy & Elsa","Manhattan","t","New York",40.7773,-73.95305,5,1.5,2,260,1,100,"flexible"
"Apartment","Private room","Cozy room around Union Square","Yiling","East Village","t","New York",40.73352,-73.98896,2,1,1,120,3,100,"flexible"
"Apartment","Shared room","Semi-Private Room Next to TimeSqare","Matt","Manhattan","t","New York",40.76646,-73.99345,2,1,1,65,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Cozy Apartment in Spanish Harlem","Rachel","Harlem","t","New York",40.79197,-73.94711,2,1,1,140,1,100,"moderate"
"Apartment","Entire home/apt","Cute Apartment - heart of Astoria","Pierre","Queens","t","Queens",40.7609,-73.92288,4,1,1,100,1,100,"moderate"
"Apartment","Entire home/apt","Deluxe Large 1-Bedroom Apt in WILLIAMSBURG NYC","Jeff","Williamsburg","t","Brooklyn",40.71907,-73.95434,2,1,1,170,6,100,"flexible"
"Apartment","Entire home/apt","Lux Interior Designer Brookyln Flat","Sidra","Brooklyn","t","Brooklyn",40.67815,-73.96823,6,3,2,995,1,100,"strict_14_with_grace_period"
"Apartment","Private room","A cozy room in Lower East Manhattan","Emily","Lower East Side","t","New York",40.71209,-73.98794,1,1,1,62,2,100,"moderate"
"Apartment","Entire home/apt","SoHo Studio","David","Manhattan","t","New York",40.72688,-74.00058,2,1,0,195,1,100,"flexible"
"Condominium","Entire home/apt","Large Stylish & Modern 1 BR Apt.","Alexis","Hell's Kitchen","t","New York",40.76379,-73.99378,3,1,1,200,1,100,"flexible"
"Apartment","Entire home/apt","Studio near GramercyPark w/ Kitchen","Xinyan","Manhattan","t","New York",40.74195,-73.98242,2,1,1,120,4,100,"flexible"
"Apartment","Entire home/apt","Charming UWS Studio Loft","Alicia","Upper West Side","t","New York",40.77633,-73.97932,1,1,0,80,7,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Bright Brooklyn Apartment","Ellery","Brooklyn","t","Brooklyn",40.68307,-73.92894,2,1,1,119,16,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Garden apartment oasis.","Andre","Flatbush","t","Brooklyn",40.66201,-73.95352,4,1,0,125,10,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Prospect Park Palace","Michael","Lefferts Garden","t","Brooklyn",40.6626,-73.96003,5,1,1,150,1,100,"moderate"
"Apartment","Entire home/apt","Bespoke 2 Building Garden Apartment","Marc","Brooklyn","t","Brooklyn",40.71032,-73.95345,6,2,2,290,1,100,"moderate"
"Apartment","Private room","Spacious Private Room, East Village","Shirley","Manhattan","t","New York",40.73145,-73.98384,2,1,1,100,1,100,"moderate"
"Apartment","Private room","Large Room in LES ($80-100/night)","Daniel","Lower East Side","t","New York",40.71813,-73.98715,2,1,1,70,3,100,"flexible"
"Apartment","Entire home/apt","Big Bright 1BR Bed-Stuy Brownstone","Julia","Bedford-Stuyvesant","t","Brooklyn",40.68394,-73.94678,2,1,1,94,6,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Apartment in Harlem","Ryan","Harlem","t","New York",40.80728,-73.94987,2,1,0,65,3,100,"flexible"
"Apartment","Entire home/apt","Premium Central Park Experience","Francis","Upper West Side","t","New York",40.79322,-73.96726,4,1,1,200,2,100,"flexible"
"Apartment","Entire home/apt","Cozy Studio Home on the UWS!","Heather","Upper West Side","t","New York",40.80383,-73.96793,4,1,0,103,1,100,"moderate"
"House","Private room","A cozy place in Bayridge","Aditya","Brooklyn","t","Brooklyn",40.63266,-74.0284,2,1,1,80,1,100,"flexible"
"Apartment","Private room","Room in Sunny Apt in Great Area","Jennifer","Brooklyn","t","Brooklyn",40.69431,-73.97316,1,1,1,60,1,100,"flexible"
"Apartment","Private room","Private room in charming, comfortable & bright apt","Milen","Brooklyn","t","Brooklyn",40.66891,-73.9533,2,1,1,50,4,100,"flexible"
"Apartment","Private room","Room in beautiful Ditmas Park","Ross","Brooklyn","t","Brooklyn",40.63443,-73.96703,1,1,1,47,2,100,"flexible"
"Apartment","Entire home/apt","Modern & Sun Filled 1BR in Gramercy","Kendall","Manhattan","t","New York",40.73637,-73.98107,2,1,1,200,2,100,"moderate"
"Condominium","Entire home/apt","Modern, Large & Cozy 1 BR NYC Apt","Charline","Midtown East","t","New York",40.75247,-73.97196,4,1,1,270,8,100,"moderate"
"Apartment","Private room","Big bedroom with private bathroom!","Sierra","Hamilton Heights","t","New York",40.82976,-73.94663,1,1,1,30,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Private room in Greenpoint","Ricardo","Brooklyn","t","Brooklyn",40.72515,-73.9397,1,1,1,30,1,100,"moderate"
"Apartment","Private room","Spacious Room in Bushwick, Brooklyn","Anna","Brooklyn","t","Brooklyn",40.70079,-73.92095,1,1,1,38,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","❤️ of Wburg, 2.5 Rms, Sep Entrances","Elli & Masako","Williamsburg","t","Brooklyn",40.71947,-73.95677,3,1,2,219,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Luxury 1 Bedroom Apt. in Midtown","Humberto","Midtown","t","New York",40.76234,-73.98732,2,1,1,275,6,100,"flexible"
"Apartment","Entire home/apt","2-bd apt 20min metro to Manhattan","Mehrnoush","Flatbush","t","Brooklyn",40.65234,-73.95329,6,1,2,155,1,100,"flexible"
"Apartment","Private room","Large Room in Sunny Astoria Apt","Taylor","Astoria","t","Queens",40.75764,-73.92283,2,1,1,65,2,100,"strict_14_with_grace_period"
"Apartment","Private room","Room with a View","Nargiz","Astoria","t","Queens",40.7588,-73.91911,2,1,1,55,12,100,"flexible"
"Apartment","Private room","Room in dreamy Greenpoint loft","Steph","Brooklyn","t","Brooklyn",40.73739,-73.95568,1,1,1,70,2,100,"moderate"
"Apartment","Entire home/apt","Spacious, modern 1BR by Times Sq","Selin","Manhattan","t","New York",40.76109,-73.99417,3,1,1,245,1,100,"moderate"
"Apartment","Entire home/apt","1 bed cozy studio @ Gramercy on Lex","Xenia","Manhattan","t","New York",40.7415,-73.98354,2,1,0,139,1,100,"flexible"
"Apartment","Entire home/apt","Beautiful stylish Brooklyn apartment","Liat","Brooklyn","t","Brooklyn",40.68538,-73.94138,4,1,2,120,3,100,"moderate"
"Apartment","Entire home/apt","Quiet Brooklyn Apartment","Stephanie","Williamsburg","t","Brooklyn",40.7138,-73.94581,2,1,1,74,1,100,"flexible"
"Apartment","Private room","Private Room in Greenpoint","Anthony","Greenpoint","t","Brooklyn",40.73036,-73.95453,2,1,1,60,3,100,"flexible"
"Apartment","Entire home/apt","BK/NYC Apt near Prospect Prk","Taylor","Kensington","t","Brooklyn",40.644,-73.98091,4,1,2,85,3,100,"strict_14_with_grace_period"
"Apartment","Private room","bedroom in converted warehouse","Frank","Williamsburg","t","Brooklyn",40.71147,-73.96745,1,1,1,70,1,100,"flexible"
"Apartment","Private room","Bright Bedroom in Lower East Side","Tania","Lower East Side","t","New York",40.72143,-73.98434,2,1,1,90,5,100,"flexible"
"Apartment","Shared room","Spacious living area near Q and 6 train! :)","Jennifer","Manhattan","t","New York",40.78929,-73.94178,2,1,1,70,4,100,"flexible"
"Apartment","Entire home/apt","Comfy apartment, close to train, beautiful street!","Cyntia","Morningside Heights","t","New York",40.81218,-73.96112,5,1,2,200,1,100,"flexible"
"Apartment","Entire home/apt","Bright Studio Loft Bed Stuy","Minka","Brooklyn","t","Brooklyn",40.67902,-73.94747,2,1,0,80,7,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Bright and Cozy Studio, Park Slope!","Tamara","Park Slope","t","Brooklyn",40.66557,-73.97896,2,1,0,107,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Bright, sunny, cozy, convenient Williamsburg 1-BR","Nicholas","Brooklyn","t","Brooklyn",40.71817,-73.95635,2,1,1,175,3,100,"flexible"
"Apartment","Entire home/apt","Clean and Cozy BedStuy Apt","Serik","Bedford-Stuyvesant","t","Brooklyn",40.69345,-73.93304,2,1,1,75,2,100,"flexible"
"Apartment","Entire home/apt","Spacious Kips Bay NYC studio !","Jessie","Kips Bay","t","New York",40.74238,-73.97652,2,1,0,175,1,100,"flexible"
